Time,Functional group,Dose,Initial_conc,pH,Removal_eff,pred_RForest_ALL,RForest_ALL,RForest_ALL,diff_Hot,diff_le,diff_le
30,MSN,0.5,20,3.34,30.84230526,30.62127712,31.46463961,31.30793064,0.221028138,0.622334349,0.465625384
30,MSN,0.5,20,4.53,39.20559029,37.78491867,40.40803565,40.4075181,1.42067162,1.202445355,1.201927806
30,MSN,0.5,20,7.32,56.9699193,54.89777738,54.23353267,54.22574359,2.072141915,2.736386628,2.744175709
30,MSN,0.5,20,8.26,54.23594616,55.7132773,56.42372041,56.28147363,1.477331137,2.187774251,2.045527474
30,MSN,0.5,20,9.29,58.78234399,61.19570707,60.50378829,60.56739991,2.413363078,1.721444298,1.785055921
30,MSN,0.5,20,10.69,26.27474505,25.10929509,24.61085754,24.61085754,1.16544996,1.66388751,1.66388751
30,SH,0.5,20,2.27,51.37362637,43.07663202,41.11140933,41.11140933,8.296994348,10.26221704,10.26221704
30,SH,0.5,20,3.34,50.91830272,46.93676222,45.48724626,45.4120747,3.981540501,5.431056458,5.506228019
30,SH,0.5,20,4.53,57.70503862,55.59648954,54.63783862,54.7139217,2.108549085,3.067199999,2.99111692
30,SH,0.5,20,7.32,54.91562729,56.60803518,60.25849382,60.02614769,1.692407886,5.342866535,5.1105204
30,SH,0.5,20,8.26,55.26524149,56.54352596,59.53803551,59.36253962,1.278284466,4.272794019,4.097298135
30,SH,0.5,20,9.29,67.18417047,65.17421133,67.76899576,67.76717501,2.009959136,0.584825289,0.583004543
30,SH,0.5,20,10.69,21.47570486,23.76167237,23.79056188,23.79056188,2.285967514,2.31485702,2.31485702
30,COOH,0.5,20,2.27,12.85103785,27.70538735,25.25743925,25.25743925,14.8543495,12.4064014,12.4064014
30,COOH,0.5,20,3.34,27.51741609,41.81292802,33.99704374,33.99704374,14.29551193,6.479627654,6.479627654
30,COOH,0.5,20,4.53,53.73299007,59.46607841,60.89990589,60.89990589,5.733088341,7.166915819,7.166915819
30,COOH,0.5,20,7.32,46.918562,58.11865108,58.61915903,58.6135697,11.20008908,11.70059703,11.6950077
30,COOH,0.5,20,8.26,47.94140934,52.11936659,50.79688579,50.80806445,4.177957251,2.855476455,2.866655114
30,COOH,0.5,20,9.29,57.32115677,58.93621087,56.86730638,56.8665081,1.615054103,0.453850388,0.454648673
30,COOH,0.5,20,10.69,24.71505699,24.00476475,21.45027073,21.45027073,0.710292237,3.264786263,3.264786263
30,MSN,1,1,6.56,100,98.57447075,99.69116556,99.69116556,1.425529253,0.308834439,0.308834439
30,MSN,1,5,6.56,98.33290587,97.55982613,98.40504811,98.40504811,0.773079742,0.072142237,0.072142237
30,MSN,1,10,6.56,94.47756024,94.87063763,95.2013562,95.2013562,0.393077386,0.723795964,0.723795964
30,MSN,1,25,6.56,81.05044127,78.24150392,76.70257509,76.70257509,2.808937347,4.347866183,4.347866183
30,MSN,1,50,6.56,56.06758007,55.35398995,52.85269952,52.14556689,0.713590116,3.214880549,3.922013184
30,SH,1,1,6.56,100,99.54276871,99.46196977,99.46196977,0.457231291,0.538030234,0.538030234
30,SH,1,5,6.56,98.87435525,98.66170067,98.38655929,98.38655929,0.212654577,0.487795961,0.487795961
30,SH,1,10,6.56,95.98270281,96.31773048,95.53236427,95.53236427,0.335027672,0.450338539,0.450338539
30,SH,1,25,6.56,88.91727057,84.61750943,85.35386246,85.56519423,4.299761145,3.563408109,3.352076342
30,SH,1,50,6.56,62.13034495,63.67791499,63.49340491,62.95332958,1.547570041,1.363059964,0.822984625
30,COOH,1,1,6.56,100,99.61704809,99.82316156,99.82316156,0.382951908,0.176838444,0.176838444
30,COOH,1,5,6.56,98.89715312,98.76584587,98.72428561,98.72428561,0.13130725,0.172867506,0.172867506
30,COOH,1,10,6.56,98.62267509,97.52396802,97.00590127,97.00590127,1.098707066,1.616773819,1.616773819
30,COOH,1,25,6.56,91.30611562,88.68800531,88.53617317,88.53617317,2.618110307,2.769942446,2.769942446
30,COOH,1,50,6.56,71.7700396,68.1457436,68.21323807,67.77432876,3.624295996,3.556801528,3.995710839
,,,,,,,,,,,
,,,,,,,SUM,,368.3309452,371.2949698,368.6744783
,,,,,,,,,3.507913763,3.536142569,3.511185508
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,SUM,,-55.64095355,-19.16693792,-19.16693792
,,,,,,,,,-0.529913843,-0.182542266,-0.182542266
